time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,pos_xo,pos_yo,pos_zo,vel_xo,vel_yo,vel_zo,roll,pitch,yaw,roll_vel,pitch_vel,yaw_vel,thrust_z,force_x,force_y,force_z,torque_x,torque_y,torque_z,pos_xd,pos_yd,pos_zd,vel_xd,vel_yd,vel_zd,roll_d,pitch_d,yaw_d,roll_vel_d,pitch_vel_d,yaw_vel_d
0.005,0.0,0.0,0.0,0.0,0.0,-0.03678750000000001,0.0,0.0,0.0,0.0,0.0,-0.03678750000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,-0.00018393750000000005,-1.4147495300858282e-05,0.0018402583681046965,-0.05356862034809298,0.0,0.0,0.0,0.0,0.0,-0.03678750000000001,-9.070622418662429e-06,-6.988055144185507e-08,3.1693004827066505e-13,-0.0036282489674649646,-2.7952220577221154e-05,0.0,0.0,-0.03734938759426586,4.858282091796398,28.426736375570297,0.0,0.0,0.0,0.0,0.0,3.658677005767823e-09,0.0,0.0,2.1945199012756347e-06,0.0,0.0,0.0,0.0,0.0,0.0
0.015,-7.073747650429141e-08,9.201291840523482e-06,-0.000451780601740465,-3.890561207736028e-05,0.005060710512287915,-0.0553449634551727,0.0,0.0,0.0,0.0,0.0,-0.03678750000000001,-4.297228835183116e-05,-3.3106076607657466e-07,7.113200055682422e-12,-0.009932417405801891,-7.651986531812053e-05,-7.718805094702745e-15,0.0,-0.03734938759426586,4.858282091796398,28.426736375570297,0.0,0.0,0.0,0.0,0.0,2.9241970825195318e-08,0.0,0.0,8.767103576660157e-06,0.0,0.0,0.0,0.0,0.0,0.0
0.02,-2.652655368910928e-07,3.450484440196306e-05,-0.0007285054190163285,-7.162169496059506e-05,0.009316307988530025,-0.04586773613553332,0.0,0.0,0.0,0.0,0.0,-0.03678750000000001,-0.00011321010179853126,-8.721765680467744e-07,4.936909377958376e-11,-0.018162707972867228,-0.0001399264561782206,-1.8668664011811364e-13,0.0,-0.03734938759426586,4.858282091796398,28.426736375570297,0.0,0.0,0.0,0.0,0.0,9.859907026290893e-08,0.0,0.0,1.9701302433013915e-05,0.0,0.0,0.0,0.0,0.0,0.0
0.025,-6.233740116940681e-07,8.108638434461319e-05,-0.0009578440996939952,-0.00011030625242387943,0.014348264463816304,-0.027950348512086384,0.0,0.0,0.0,0.0,0.0,-0.03678750000000001,-0.00022794272584755648,-1.7560827169231935e-06,2.001383651270675e-10,-0.027730341646660488,-0.00021363600871804176,-1.5217741762345451e-12,0.0,-0.03734938759426586,4.858282091796398,28.426736375570297,0.0,0.0,0.0,0.0,0.0,2.3349697265625005e-07,0.0,0.0,3.4980688476562504e-05,0.0,0.0,0.0,0.0,0.0,0.0
0.030000000000000002,-1.1749052738134654e-06,0.0001528277066636947,-0.001097595842254427,-0.00015346716582220098,0.01996249018838571,-0.0037028631952036074,0.0,0.0,0.0,0.0,0.0,-0.03678750000000001,-0.00039270483882855394,-3.0254186285385157e-06,5.940212319525097e-10,-0.038174503545352755,-0.00029409838096137753,-7.38501898544328e-12,0.0,-0.03734938759426586,4.858282091796398,28.426736375570297,0.0,0.0,0.0,0.0,0.0,4.556205868721009e-07,0.0,0.0,5.458885431289673e-05,0.0,0.0,0.0,0.0,0.0,0.0
0.035,-1.9422411029244704e-06,0.00025264015760562326,-0.001116110158230445,-0.00019998534617180044,0.02601341784991746,0.025292167833220726,0.0,0.0,0.0,0.0,0.0,-0.03678750000000001,-0.0006109811621672069,-4.707030677782536e-06,1.4378426035658227e-09,-0.04913602578878256,-0.000378546524776092,-2.6189269666134008e-11,0.0,-0.03734938759426586,4.858282091796398,28.426736375570297,0.0,0.0,0.0,0.0,0.0,7.865728363037112e-07,0.0,0.0,7.850941314697268e-05,0.0,0.0,0.0,0.0,0.0,0.0
0.04,-2.9421678337834725e-06,0.00038270724685521057,-0.0009896493190643414,-0.0002490214767348583,0.03239187196417097,0.057847825556792624,0.0,0.0,0.0,0.0,0.0,-0.03678750000000001,-0.0008846623154897831,-6.815484070858371e-06,3.0143369678758524e-09,-0.06033643553657392,-0.0004648350708592721,-7.509563911172554e-11,0.0,-0.03734938759426586,4.858282091796398,28.426736375570297,0.0,0.0,0.0,0.0,0.0,1.2478747618675235e-06,0.0,0.0,0.00010672599878311159,0.0,0.0,0.0,0.0,0.0,0.0
0.045,-4.187275217457764e-06,0.0005446666066760654,-0.0007004101912803782,-0.00029994606995800997,0.0390159709179658,0.0930739156774551,0.0,0.0,0.0,0.0,0.0,-0.03678750000000001,-0.001214406593524873,-9.355849913956871e-06,5.679890261980309e-09,-0.07156127566876959,-0.0005513118303877799,-1.845699859633133e-10,0.0,-0.03734938759426586,4.858282091796398,28.426736375570297,0.0,0.0,0.0,0.0,0.0,1.8609656250000006e-06,0.0,0.0,0.000139222265625,0.0,0.0,0.0,0.0,0.0,0.0
0.049999999999999996,-5.687005567247813e-06,0.0007397464612658943,-0.0002350406128931027,-0.000352287010176232,0.04582430350141661,0.13030278743018497,0.0,0.0,0.0,0.0,0.0,-0.03678750000000001,-0.0015999268528172,-1.232591530853234e-05,9.857800076343196e-09,-0.08264682802993056,-0.0006367155102011809,-4.0348282430982274e-10,0.0,-0.03734938759426586,4.858282091796398,28.426736375570297,0.0,0.0,0.0,0.0,0.0,2.6472030106544494e-06,0.0,0.0,0.0001759818886756897,0.0,0.0,0.0,0.0,0.0,0.0
