time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,pos_xo,pos_yo,pos_zo,vel_xo,vel_yo,vel_zo,roll,pitch,yaw,roll_vel,pitch_vel,yaw_vel,thrust_z,force_x,force_y,force_z,torque_x,torque_y,torque_z,pos_xd,pos_yd,pos_zd,vel_xd,vel_yd,vel_zd,roll_d,pitch_d,yaw_d,roll_vel_d,pitch_vel_d,yaw_vel_d,pos_xr,pos_yr,pos_zr,vel_xr,vel_yr,vel_zr
0.050003576278686526,-0.012730740010738373,-0.05422038212418556,0.18685804307460785,-0.006472392260196718,0.0015568955504648568,0.0010134571985042527,-0.012730740010738373,-0.05422038212418556,-0.21314195692784776,-0.006472392260196718,0.0015568955504648568,0.0010120839114176393,0.08604393269266186,-0.00045114442742821836,0.011925131497136476,0.0,0.0,0.0,0.0,-0.05565336748959767,-0.3575193218326642,12.452863138201211,0.0,0.0,0.0,0.0,0.0,0.4000000000024556,0.0,0.0,1.3732870866135091e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
0.10000357627868653,-0.012700648978352547,-0.053992487490177155,0.1866818070411682,-0.006591177687245919,0.0011033878377592157,0.00026752151141869787,-0.012700648978352547,-0.053992487490177155,-0.2137856489022223,-0.006591177687245919,0.0011033878377592157,-0.018180902382370964,0.0720478170097465,-0.0020396151685173614,0.007906212973692206,-0.016345150768756866,-0.013950192369520654,0.08828456699848175,0.0,2.3868825197109165,4.662614499592911,23.2848,0.0,0.0,0.0,0.0,0.0,0.4004674559433905,0.0,0.0,0.018448423893789662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4004673899689503,0.0,0.0,0.0184471572317246
0.15000357627868655,-0.01256471499800682,-0.052793070673942566,0.18958348035812378,0.01912352467521883,0.04199597270198031,0.1443348483848008,-0.01256471499800682,-0.052793070673942566,-0.21223725395616022,0.01912352467521883,0.04199597270198031,0.10888601439624175,0.06379354793885783,-0.0022576760672756713,0.010625208509964068,-0.33494362235069275,0.14581429958343506,0.06795029342174529,0.0,2.7254308743068956,-0.006727347871946059,23.2848,0.0,0.0,0.0,0.0,0.0,0.401820734314284,0.0,0.0,0.03544883398855904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40182060754146,0.0,0.0,0.0354476677012468
0.20000357627868653,-0.008601030334830284,-0.049386825412511826,0.2068595439195633,0.1390626661587489,0.031214408520162107,0.4408840626609956,-0.008601030334830284,-0.049386825412511826,-0.19713010530840358,0.1390626661587489,0.031214408520162107,0.3897963736694797,0.055352273805158614,0.01638718107065884,0.011417305124028054,-0.02763434499502182,0.3077075481414795,-0.019738093018531837,0.0,-5.329856482025461,1.812039674265426,20.224827769235283,0.0,0.0,0.0,0.0,0.0,0.4039896492279669,0.0,0.0,0.05108768899151589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4039894665260701,0.0,0.0,0.0510866171549083
0.2500035762786865,-0.006321372929960489,-0.04408518597483635,0.2446121722459793,0.009947796506316909,0.2488537048695014,0.9961097839450597,-0.006321372929960489,-0.04408518597483635,-0.1622959846835772,0.009947796506316909,0.2488537048695014,0.9306641579527509,0.038005384841984124,0.0033131793573657475,0.011490136811747043,-0.3926146924495697,-1.056233525276184,0.011603934690356385,0.0,-6.472366023698293,2.3272298828208093,22.71310848345427,0.0,0.0,0.0,0.0,0.0,0.4069081569295565,0.0,0.0,0.0654456259923087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4069079228795169,0.0,0.0,0.065444642992605
0.3000035762786865,-0.00995334330946207,-0.03493240848183632,0.30080583691596985,0.047224990594440394,0.305114378431881,1.2826264974532282,-0.00995334330946207,-0.03493240848183632,-0.10970830195838854,0.047224990594440394,0.305114378431881,1.204027445676167,0.017049363689042085,-0.06833772051874654,0.012085858339505151,-0.4571891725063324,-1.6232240200042725,0.027272842824459274,0.0,-4.532978706453067,0.9919742603094843,16.955066730277153,0.0,0.0,0.0,0.0,0.0,0.4105141388743584,0.0,0.0,0.07859905177706109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4105138577838531,0.0,0.0,0.0785981522954863
0.3500035762786865,-0.01619301736354828,-0.021968727931380272,0.3801549971103668,0.32587387772671356,0.18511023059988072,1.5341541589090206,-0.01619301736354828,-0.021968727931380272,-0.034594198338277815,0.32587387772671356,0.18511023059988072,1.443533808312453,-0.03097843584011084,-0.14293289067159076,-0.0031023128488660845,-0.0948638916015625,-1.2423388957977295,0.028847359120845947,0.0,2.5204474659938687,-1.4571240583206722,14.491906171059357,0.0,0.0,0.0,0.0,0.0,0.41474919544864464,0.0,0.0,0.09062035059656759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4147488713664842,0.0,0.0,0.090619529594867
0.4000035762786865,-0.015027418732643127,-0.01368784811347723,0.452531099319458,0.36141326962852427,0.14962826810619656,1.466917291646638,-0.015027418732643127,-0.01368784811347723,0.03297264948726131,0.36141326962852427,0.14962826810619656,1.3653392095016064,-0.0027907444073855814,-0.13150122165765188,-0.001462510091220004,1.0401685237884521,0.9320064187049866,-0.08137118816375744,0.0,0.9696418156448163,-2.495020475775885,9.86714186988582,0.0,0.0,0.0,0.0,0.0,0.4195584498321967,0.0,0.0,0.10157808214503153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4195580865620028,0.0,0.0,0.1015773348516495
0.4500035762786865,-0.010715119540691376,-0.009533015079796314,0.5100213289260864,0.2255687006375377,0.22502303566269433,1.1775092186214142,-0.010715119540691376,-0.009533015079796314,0.0851309674016576,0.2255687006375377,0.22502303566269433,1.0659720484238069,0.0525414890928535,-0.08111480669022697,-0.0008157999128433069,1.551424503326416,1.0964717864990234,-0.0575174801051618,0.0,-2.026512051755502,-2.8956247113262723,2.2572597490901796,0.0,0.0,0.0,0.0,0.0,0.42489036152442883,0.0,0.0,0.11153717019760744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4248899626376369,0.0,0.0,0.1115364920945189
0.5000035762786865,-0.011876985430717468,-0.0065573654137551785,0.562765896320343,0.10113326989040058,0.24492867516509556,1.0205893195654054,-0.011876985430717468,-0.0065573654137551785,0.13206934724252417,0.10113326989040058,0.24492867516509556,0.9000302372304956,0.1451984210080246,-0.06474692448032959,0.012672501616917131,1.610239028930664,-0.33026957511901855,0.05639459565281872,0.0,2.719072511850297,-2.8553506311392365,4.201347495514909,0.0,0.0,0.0,0.0,0.0,0.43069654907781885,0.0,0.0,0.12055908233490986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4306961179260387,0.0,0.0,0.1205584691450742
