pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,x_ref,y_ref,z_ref,vx_ref,vy_ref,vz_ref,ax,ay,az,force_x,force_y,force_z
0.226178018,0.247538354,1.024449265,0.620771666,0.539960659,-0.024664094,0.248689887,0.240876837,1,0.608478646,0.550237517,0,0.6992153,0.7352495,0.5545378,4.1952918,4.411497,7.2089914
0.258470163,0.27662779,1.02878692,0.645842906,0.581788715,0.08675311,0.278991106,0.267913397,1,0.603271072,0.530157891,0,0.6723805,0.48349473,0.12083863,4.034283,2.90096838,1.57090219
0.291293751,0.304538295,1.027605929,0.656471754,0.558210107,-0.023619823,0.309016994,0.293892626,1,0.597468142,0.507985974,0,0.32209834,-0.013219972,0.43992484,1.93259004,-0.079319832,5.71902292
0.320512708,0.325834388,1.029263113,0.584379149,0.425921853,0.033143688,0.33873792,0.318711995,1,0.591075583,0.483809268,0,0.465601,0.70646966,0.17501791,2.793606,4.23881796,2.27523283
0.348009532,0.349176902,1.027077038,0.549936472,0.46685029,-0.043721505,0.368124553,0.342273553,1,0.584099704,0.457723188,0,0.6878599,0.75359464,0.55809224,4.1271594,4.52156784,7.25519912
0.376253927,0.374596407,1.030668816,0.564887906,0.508390084,0.071835564,0.397147891,0.364484314,1,0.576547389,0.429830684,0,0.8348175,0.24982193,0.13678214,5.008905,1.49893158,1.77816782
0.406520451,0.39611094,1.029215469,0.605330475,0.430290659,-0.029066944,0.425779292,0.385256621,1,0.568426091,0.400241835,0,0.5562962,0.13104627,0.426103,3.3377772,0.78627762,5.539339
0.435249181,0.412852911,1.030303329,0.574574608,0.334839423,0.021757191,0.4539905,0.404508497,1,0.559743825,0.369073414,0,0.45208955,0.65636706,0.17780545,2.7125373,3.93820236,2.31147085
0.461321818,0.431126794,1.027691222,0.521452737,0.365477669,-0.052242132,0.481753674,0.422163963,1,0.55050916,0.336448428,0,0.8074718,0.71147615,0.68924487,4.8448308,4.2688569,8.96018331
0.488806886,0.451165196,1.034007249,0.54970136,0.400768031,0.126320546,0.509041416,0.43815334,1,0.540731209,0.302495635,0,0.8888693,0.12102424,0.07734955,5.3332158,0.72614544,1.00554415
0.51817178,0.466130534,1.033443779,0.58729788,0.299306768,-0.01126941,0.535826795,0.452413526,1,0.530419621,0.267349029,0,0.4714387,-0.000332162,0.29156107,2.8286322,-0.001992972,3.79029391
0.544373706,0.47535148,1.032085461,0.524038521,0.184418911,-0.027166364,0.562083378,0.464888243,1,0.519584573,0.231147319,0,0.48084635,0.642207,0.2627032,2.8850781,3.853242,3.4151416
0.567792926,0.486609727,1.029381592,0.468384401,0.225164945,-0.054077365,0.587785252,0.475528258,1,0.508236758,0.194033376,0,0.82899517,0.5437935,0.6123706,4.97397102,3.262761,7.9608178
0.592458176,0.498444755,1.033795186,0.493304996,0.236700558,0.088271864,0.612907054,0.484291581,1,0.496387375,0.156153672,0,0.8590608,0.07893314,0.05788999,5.1543648,0.47359884,0.75256987
0.6183246,0.505624785,1.031157617,0.517328472,0.143600599,-0.052751371,0.63742399,0.491143625,1,0.484048117,0.117657701,0,0.5836812,-0.13015565,0.43417478,3.5020872,-0.7809339,5.64427214
0.642022593,0.506519862,1.031414557,0.473959866,0.01790154,0.005138791,0.661311865,0.496057351,1,0.471231162,0.078697388,0,0.6110889,0.77025294,0.20199423,3.6665334,4.62151764,2.62592499
0.663997811,0.511860172,1.02865791,0.439504362,0.106806203,-0.055132921,0.684547106,0.499013364,1,0.457949159,0.039426493,0,0.82509696,0.09161647,0.6455296,4.95058176,0.54969882,8.3918848
0.68667172,0.513557039,1.033813556,0.453478179,0.033937331,0.103112911,0.707106781,0.5,1,0.444215215,-3.89E-15,0,0.85741055,0.5999296,0.07114853,5.1444633,3.5995776,0.92493089
0.710120951,0.517673406,1.032119069,0.468984631,0.082327344,-0.033889738,0.728968627,0.499013364,1,0.430042884,-0.039426493,0,0.7022366,-0.65350413,0.37991887,4.2134196,-3.92102478,4.93894531
0.73236544,0.510181304,1.031891724,0.444889767,-0.149842037,-0.00454691,0.75011107,0.496057351,1,0.415446154,-0.078697388,0,0.5435134,0.70872664,0.23665822,3.2610804,4.25235984,3.07655686
0.751692558,0.507695801,1.029536811,0.386542368,-0.049710048,-0.047098246,0.770513243,0.491143625,1,0.400439427,-0.117657701,0,0.7634417,-0.4648193,0.41366237,4.5806502,-2.7889158,5.37761081
0.770787219,0.496719354,1.029562732,0.381893218,-0.219528957,0.000518415,0.790155012,0.484291581,1,0.385037516,-0.156153672,0,0.6183357,0.7181561,0.24059826,3.7100142,4.3089366,3.12777738
0.787962697,0.49147569,1.027533422,0.343509564,-0.104873268,-0.040586205,0.809016994,0.475528258,1,0.369255619,-0.194033376,0,0.85252583,-0.3831009,0.49930245,5.11515498,-2.2986054,6.49093185
0.805925447,0.479165345,1.02986948,0.359254994,-0.246206906,0.046721162,0.827080574,0.464888243,1,0.353109311,-0.231147319,0,0.7300848,0.600116,0.14427604,4.3805088,3.600696,1.87558852
0.82309081,0.471635548,1.027531381,0.343307251,-0.150595943,-0.046761987,0.844327926,0.452413526,1,0.336614527,-0.267349029,0,0.77856976,-0.67236054,0.45071164,4.67141856,-4.03416324,5.85925132
0.839977046,0.45438438,1.028459804,0.337724731,-0.345023347,0.01856846,0.860742027,0.43815334,1,0.319787545,-0.302495635,0,0.6149051,0.5899992,0.21839993,3.6894306,3.5399952,2.83919909
0.854719124,0.442730696,1.026682726,0.29484155,-0.233073678,-0.035541556,0.87630668,0.422163963,1,0.302644972,-0.336448428,0,0.8174449,-0.7037536,0.37961066,4.9046694,-4.2225216,4.93493858
0.869731218,0.421849535,1.026418687,0.300241897,-0.417623226,-0.005280784,0.891006524,0.404508497,1,0.285203724,-0.369073414,0,0.61517483,0.5033207,0.2724097,3.69104898,3.0199242,3.5413261
0.882660053,0.406411526,1.024916217,0.258576691,-0.308760183,-0.030049385,0.904827052,0.385256621,1,0.267481015,-0.400241835,0,0.81631136,-0.68655777,0.3676373,4.89786816,-4.11934662,4.7792849
0.895909004,0.382773129,1.024616658,0.264979022,-0.472767944,-0.005991179,0.917754626,0.364484314,1,0.249494334,-0.429830684,0,0.6007626,0.40611935,0.28398728,3.6045756,2.4367161,3.69183464
0.906986065,0.364227239,1.023370371,0.221541212,-0.370917803,-0.024925751,0.929776486,0.342273553,1,0.231261433,-0.457723188,0,0.8152242,-0.69999146,0.3543276,4.8913452,-4.19994876,4.6062588
0.918466737,0.3381174,1.022986479,0.229613446,-0.522196767,-0.007677835,0.940880769,0.318711995,1,0.212800304,-0.483809268,0,0.6097424,0.28412452,0.3055755,3.6584544,1.70474712,3.9724815
